unit,s_adj,nace_r2,na_item,geo,time,values
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2023-04-01,163363
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2023-01-01,163913
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2022-10-01,164644.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2022-07-01,163343.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2022-04-01,163558.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2022-01-01,160327.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2021-10-01,159233.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2021-07-01,157959.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2021-04-01,154750.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2021-01-01,149817.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2020-10-01,147953.8
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2020-07-01,146509.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2020-04-01,138228.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2020-01-01,150717.6
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2019-10-01,152897.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2019-07-01,152137.5
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2019-04-01,151702.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2019-01-01,151319.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2018-10-01,150012.2
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2018-07-01,149268.4
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2018-04-01,149151.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2018-01-01,147964
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2017-10-01,147319.7
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2017-07-01,146379.3
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2017-04-01,145403.1
CLV05_MEUR,SCA,TOTAL,GValueAdd,NL,2017-01-01,144086.7
