geo,time,na_item,values
DE,1991-01-01,GValueAdd,433105.1
DE,1991-04-01,GValueAdd,428743
DE,1991-07-01,GValueAdd,429938.1
DE,1991-10-01,GValueAdd,435077.1
DE,1992-01-01,GValueAdd,441231.6
DE,1992-04-01,GValueAdd,437885.3
DE,1992-07-01,GValueAdd,437706.1
DE,1992-10-01,GValueAdd,435315.9
DE,1993-01-01,GValueAdd,432910.9
DE,1993-04-01,GValueAdd,432612.2
DE,1993-07-01,GValueAdd,434106
DE,1993-10-01,GValueAdd,433747.5
DE,1994-01-01,GValueAdd,437153.4
DE,1994-04-01,GValueAdd,440200.8
DE,1994-07-01,GValueAdd,443845.7
DE,1994-10-01,GValueAdd,449880.8
DE,1995-01-01,GValueAdd,447416.1
DE,1995-04-01,GValueAdd,451060.9
DE,1995-07-01,GValueAdd,452255.9
DE,1995-10-01,GValueAdd,453450.9
DE,1996-01-01,GValueAdd,448028.4
DE,1996-04-01,GValueAdd,456214.6
DE,1996-07-01,GValueAdd,456632.9
DE,1996-10-01,GValueAdd,461891.1
DE,1997-01-01,GValueAdd,458664.5
DE,1997-04-01,GValueAdd,464580
DE,1997-07-01,GValueAdd,466312.9
DE,1997-10-01,GValueAdd,471989.4
DE,1998-01-01,GValueAdd,474439.3
DE,1998-04-01,GValueAdd,472825.9
DE,1998-07-01,GValueAdd,475574.6
DE,1998-10-01,GValueAdd,474618.6
DE,1999-01-01,GValueAdd,477232.9
DE,1999-04-01,GValueAdd,478427.9
DE,1999-07-01,GValueAdd,483566.5
DE,1999-10-01,GValueAdd,487390.6
DE,2000-01-01,GValueAdd,495532.1
DE,2000-04-01,GValueAdd,498878.3
DE,2000-07-01,GValueAdd,500372.1
DE,2000-10-01,GValueAdd,499535.6
DE,2001-01-01,GValueAdd,510067.1
DE,2001-04-01,GValueAdd,508633
DE,2001-07-01,GValueAdd,508752.5
DE,2001-10-01,GValueAdd,509648.8
DE,2002-01-01,GValueAdd,507602.2
DE,2002-04-01,GValueAdd,509335.1
DE,2002-07-01,GValueAdd,510530.1
DE,2002-10-01,GValueAdd,511665.4
DE,2003-01-01,GValueAdd,504017
DE,2003-04-01,GValueAdd,503359.8
DE,2003-07-01,GValueAdd,508618
DE,2003-10-01,GValueAdd,510231.4
DE,2004-01-01,GValueAdd,509215.6
DE,2004-04-01,GValueAdd,514653.1
DE,2004-07-01,GValueAdd,512382.5
DE,2004-10-01,GValueAdd,512203.2
DE,2005-01-01,GValueAdd,512382.5
DE,2005-04-01,GValueAdd,514473.8
DE,2005-07-01,GValueAdd,517820
DE,2005-10-01,GValueAdd,521763.7
DE,2006-01-01,GValueAdd,526439.1
DE,2006-04-01,GValueAdd,535521.8
DE,2006-07-01,GValueAdd,540660.7
DE,2006-10-01,GValueAdd,548309.3
DE,2007-01-01,GValueAdd,550549.9
DE,2007-04-01,GValueAdd,556345.8
DE,2007-07-01,GValueAdd,559034.6
DE,2007-10-01,GValueAdd,563635.5
DE,2008-01-01,GValueAdd,567086.1
DE,2008-04-01,GValueAdd,566130.1
DE,2008-07-01,GValueAdd,561708.6
DE,2008-10-01,GValueAdd,551431.6
DE,2009-01-01,GValueAdd,524347.9
DE,2009-04-01,GValueAdd,524646.8
DE,2009-07-01,GValueAdd,527933.2
DE,2009-10-01,GValueAdd,531100.2
DE,2010-01-01,GValueAdd,539092.1
DE,2010-04-01,GValueAdd,548114.8
DE,2010-07-01,GValueAdd,552715.8
DE,2010-10-01,GValueAdd,556719.2
DE,2011-01-01,GValueAdd,568834.2
DE,2011-04-01,GValueAdd,568415.9
DE,2011-07-01,GValueAdd,574152.1
DE,2011-10-01,GValueAdd,572120.6
DE,2012-01-01,GValueAdd,574047.6
DE,2012-04-01,GValueAdd,575720.7
DE,2012-07-01,GValueAdd,576975.5
DE,2012-10-01,GValueAdd,573450.1
DE,2013-01-01,GValueAdd,572613.6
DE,2013-04-01,GValueAdd,577274.3
DE,2013-07-01,GValueAdd,580441.2
DE,2013-10-01,GValueAdd,583548.4
DE,2014-01-01,GValueAdd,590076.3
DE,2014-04-01,GValueAdd,588164.2
DE,2014-07-01,GValueAdd,591689.7
DE,2014-10-01,GValueAdd,595872.6
DE,2015-01-01,GValueAdd,592705.4
DE,2015-04-01,GValueAdd,596529.7
DE,2015-07-01,GValueAdd,598680.9
DE,2015-10-01,GValueAdd,599935.7
DE,2016-01-01,GValueAdd,606194.8
DE,2016-04-01,GValueAdd,609361.7
DE,2016-07-01,GValueAdd,610855.5
DE,2016-10-01,GValueAdd,612946.9
DE,2017-01-01,GValueAdd,620102.5
DE,2017-04-01,GValueAdd,626137.5
DE,2017-07-01,GValueAdd,631873.6
DE,2017-10-01,GValueAdd,637609.7
DE,2018-01-01,GValueAdd,633188.3
DE,2018-04-01,GValueAdd,637072.1
DE,2018-07-01,GValueAdd,632053
DE,2018-10-01,GValueAdd,637669.6
DE,2019-01-01,GValueAdd,640971.1
DE,2019-04-01,GValueAdd,639895.5
DE,2019-07-01,GValueAdd,639776
DE,2019-10-01,GValueAdd,641927.1
DE,2020-01-01,GValueAdd,632008.1
DE,2020-04-01,GValueAdd,569625.9
DE,2020-07-01,GValueAdd,622208.6
DE,2020-10-01,GValueAdd,624598.7
DE,2021-01-01,GValueAdd,620714.8
DE,2021-04-01,GValueAdd,631769.1
DE,2021-07-01,GValueAdd,638102.9
DE,2021-10-01,GValueAdd,637326.1
DE,2022-01-01,GValueAdd,640463
DE,2022-04-01,GValueAdd,642494.7
DE,2022-07-01,GValueAdd,646916.7
DE,2022-10-01,GValueAdd,643271.6
DE,2023-01-01,GValueAdd,645885.8
DE,2023-04-01,GValueAdd,645407.7
DE,2023-07-01,GValueAdd,646304.1
DE,2023-10-01,GValueAdd,643196.8
DE,2024-01-01,GValueAdd,645049.2
DE,1991-01-01,GValueAddIndus,126444.4
DE,1991-04-01,GValueAddIndus,124281.9
DE,1991-07-01,GValueAddIndus,122667.9
DE,1991-10-01,GValueAddIndus,123576.8
DE,1992-01-01,GValueAddIndus,123831.5
DE,1992-04-01,GValueAddIndus,120885.4
DE,1992-07-01,GValueAddIndus,118503.4
DE,1992-10-01,GValueAddIndus,115322.2
DE,1993-01-01,GValueAddIndus,112803.4
DE,1993-04-01,GValueAddIndus,111032.6
DE,1993-07-01,GValueAddIndus,111001.2
DE,1993-10-01,GValueAddIndus,111690.8
DE,1994-01-01,GValueAddIndus,112423.3
DE,1994-04-01,GValueAddIndus,113504.6
DE,1994-07-01,GValueAddIndus,113990.4
DE,1994-10-01,GValueAddIndus,116936.5
DE,1995-01-01,GValueAddIndus,114456.6
DE,1995-04-01,GValueAddIndus,114926.7
DE,1995-07-01,GValueAddIndus,114268.5
DE,1995-10-01,GValueAddIndus,113688.7
DE,1996-01-01,GValueAddIndus,110703.4
DE,1996-04-01,GValueAddIndus,111910.1
DE,1996-07-01,GValueAddIndus,112019.8
DE,1996-10-01,GValueAddIndus,113179.5
DE,1997-01-01,GValueAddIndus,113602.4
DE,1997-04-01,GValueAddIndus,115028.5
DE,1997-07-01,GValueAddIndus,115639.7
DE,1997-10-01,GValueAddIndus,117974.7
DE,1998-01-01,GValueAddIndus,117328.2
DE,1998-04-01,GValueAddIndus,116591.7
DE,1998-07-01,GValueAddIndus,116309.6
DE,1998-10-01,GValueAddIndus,114225.4
DE,1999-01-01,GValueAddIndus,115526
DE,1999-04-01,GValueAddIndus,115432
DE,1999-07-01,GValueAddIndus,116936.4
DE,1999-10-01,GValueAddIndus,118487.9
DE,2000-01-01,GValueAddIndus,122248.6
DE,2000-04-01,GValueAddIndus,124364.2
DE,2000-07-01,GValueAddIndus,125837.3
DE,2000-10-01,GValueAddIndus,125194.7
DE,2001-01-01,GValueAddIndus,127823.4
DE,2001-04-01,GValueAddIndus,125896
DE,2001-07-01,GValueAddIndus,125222.1
DE,2001-10-01,GValueAddIndus,123874.5
DE,2002-01-01,GValueAddIndus,122291.8
DE,2002-04-01,GValueAddIndus,123482.7
DE,2002-07-01,GValueAddIndus,124297.6
DE,2002-10-01,GValueAddIndus,124501.3
DE,2003-01-01,GValueAddIndus,124019.4
DE,2003-04-01,GValueAddIndus,123329.9
DE,2003-07-01,GValueAddIndus,124097.8
DE,2003-10-01,GValueAddIndus,126150.7
DE,2004-01-01,GValueAddIndus,126346.5
DE,2004-04-01,GValueAddIndus,129214.1
DE,2004-07-01,GValueAddIndus,128603
DE,2004-10-01,GValueAddIndus,127866.5
DE,2005-01-01,GValueAddIndus,128626.5
DE,2005-04-01,GValueAddIndus,129269
DE,2005-07-01,GValueAddIndus,130444.3
DE,2005-10-01,GValueAddIndus,132544.2
DE,2006-01-01,GValueAddIndus,134957.3
DE,2006-04-01,GValueAddIndus,138138.5
DE,2006-07-01,GValueAddIndus,140113
DE,2006-10-01,GValueAddIndus,141664.4
DE,2007-01-01,GValueAddIndus,142326.5
DE,2007-04-01,GValueAddIndus,144708.3
DE,2007-07-01,GValueAddIndus,146369.3
DE,2007-10-01,GValueAddIndus,147873.5
DE,2008-01-01,GValueAddIndus,146212.4
DE,2008-04-01,GValueAddIndus,146055.7
DE,2008-07-01,GValueAddIndus,143125.5
DE,2008-10-01,GValueAddIndus,134507.3
