unit,s_adj,na_item,geo,time,values
CLV05_MEUR,SCA,P7,AT,2021-10-01,44958.3
CLV05_MEUR,SCA,P7,AT,2021-07-01,45681.7
CLV05_MEUR,SCA,P7,AT,2021-04-01,45578.7
CLV05_MEUR,SCA,P7,AT,2021-01-01,43981.3
CLV05_MEUR,SCA,P7,AT,2020-10-01,41328.1
CLV05_MEUR,SCA,P7,AT,2020-07-01,39269.3
CLV05_MEUR,SCA,P7,AT,2020-04-01,35479.3
CLV05_MEUR,SCA,P7,AT,2020-01-01,42230.8
CLV05_MEUR,SCA,P7,AT,2019-10-01,42720.4
CLV05_MEUR,SCA,P7,AT,2019-07-01,43643.8
CLV05_MEUR,SCA,P7,AT,2019-04-01,43757.8
CLV05_MEUR,SCA,P7,AT,2019-01-01,44571.8
CLV05_MEUR,SCA,P7,AT,2018-10-01,43991.1
CLV05_MEUR,SCA,P7,AT,2018-07-01,42707.7
CLV05_MEUR,SCA,P7,AT,2018-04-01,42713.2
CLV05_MEUR,SCA,P7,AT,2018-01-01,42184.2
CLV05_MEUR,SCA,P7,AT,2017-10-01,41569
CLV05_MEUR,SCA,P7,AT,2017-07-01,41114.9
CLV05_MEUR,SCA,P7,AT,2017-04-01,40664.1
CLV05_MEUR,SCA,P7,AT,2017-01-01,40341.4
CLV05_MEUR,SCA,P7,AT,2016-10-01,38862.7
CLV05_MEUR,SCA,P7,AT,2016-07-01,38306.6
CLV05_MEUR,SCA,P7,AT,2016-04-01,38442.3
CLV05_MEUR,SCA,P7,AT,2016-01-01,38501.7
CLV05_MEUR,SCA,P7,AT,2015-10-01,38471
CLV05_MEUR,SCA,P7,AT,2015-07-01,38218.5
CLV05_MEUR,SCA,P7,AT,2015-04-01,36632.2
CLV05_MEUR,SCA,P7,AT,2015-01-01,35833.1
CLV05_MEUR,SCA,P7,AT,2014-10-01,36535.2
CLV05_MEUR,SCA,P7,AT,2014-07-01,36278.1
CLV05_MEUR,SCA,P7,AT,2014-04-01,35660
CLV05_MEUR,SCA,P7,AT,2014-01-01,35447.7
CLV05_MEUR,SCA,P7,AT,2013-10-01,35920.3
CLV05_MEUR,SCA,P7,AT,2013-07-01,35545.3
CLV05_MEUR,SCA,P7,AT,2013-04-01,34485.3
CLV05_MEUR,SCA,P7,AT,2013-01-01,33331.2
CLV05_MEUR,SCA,P7,AT,2012-10-01,34631.6
CLV05_MEUR,SCA,P7,AT,2012-07-01,34600.5
CLV05_MEUR,SCA,P7,AT,2012-04-01,34777.1
CLV05_MEUR,SCA,P7,AT,2012-01-01,34778.3
CLV05_MEUR,SCA,P7,AT,2011-10-01,34442
CLV05_MEUR,SCA,P7,AT,2011-07-01,34655.5
CLV05_MEUR,SCA,P7,AT,2011-04-01,33918.3
CLV05_MEUR,SCA,P7,AT,2011-01-01,34489.9
CLV05_MEUR,SCA,P7,AT,2010-10-01,32987.5
CLV05_MEUR,SCA,P7,AT,2010-07-01,32895
CLV05_MEUR,SCA,P7,AT,2010-04-01,32351.3
CLV05_MEUR,SCA,P7,AT,2010-01-01,30558.9
CLV05_MEUR,SCA,P7,AT,2009-10-01,29829.3
CLV05_MEUR,SCA,P7,AT,2009-07-01,29074
CLV05_MEUR,SCA,P7,AT,2009-04-01,28807.4
CLV05_MEUR,SCA,P7,AT,2009-01-01,28790.3
CLV05_MEUR,SCA,P7,AT,2008-10-01,31790.7
CLV05_MEUR,SCA,P7,AT,2008-07-01,32445.9
CLV05_MEUR,SCA,P7,AT,2008-04-01,33130.5
CLV05_MEUR,SCA,P7,AT,2008-01-01,32974.4
CLV05_MEUR,SCA,P7,AT,2007-10-01,32734.8
CLV05_MEUR,SCA,P7,AT,2007-07-01,32485.3
CLV05_MEUR,SCA,P7,AT,2007-04-01,32023
CLV05_MEUR,SCA,P7,AT,2007-01-01,31932.8
CLV05_MEUR,SCA,P7,AT,2006-10-01,31600.4
CLV05_MEUR,SCA,P7,AT,2006-07-01,30884.7
CLV05_MEUR,SCA,P7,AT,2006-04-01,30564.5
CLV05_MEUR,SCA,P7,AT,2006-01-01,29598.7
CLV05_MEUR,SCA,P7,AT,2005-10-01,30068.1
CLV05_MEUR,SCA,P7,AT,2005-07-01,29436
CLV05_MEUR,SCA,P7,AT,2005-04-01,28555.2
CLV05_MEUR,SCA,P7,AT,2005-01-01,27341.4
CLV05_MEUR,SCA,P7,AT,2004-10-01,28049.4
CLV05_MEUR,SCA,P7,AT,2004-07-01,27649.8
CLV05_MEUR,SCA,P7,AT,2004-04-01,26853.5
CLV05_MEUR,SCA,P7,AT,2004-01-01,26172
CLV05_MEUR,SCA,P7,AT,2003-10-01,25972.5
CLV05_MEUR,SCA,P7,AT,2003-07-01,25618.6
CLV05_MEUR,SCA,P7,AT,2003-04-01,24941.4
CLV05_MEUR,SCA,P7,AT,2003-01-01,25053.1
CLV05_MEUR,SCA,P7,AT,2002-10-01,24416.8
CLV05_MEUR,SCA,P7,AT,2002-07-01,24300.3
CLV05_MEUR,SCA,P7,AT,2002-04-01,24456
CLV05_MEUR,SCA,P7,AT,2002-01-01,24579.2
CLV05_MEUR,SCA,P7,AT,2001-10-01,24287.1
CLV05_MEUR,SCA,P7,AT,2001-07-01,24065.4
CLV05_MEUR,SCA,P7,AT,2001-04-01,24689.2
CLV05_MEUR,SCA,P7,AT,2001-01-01,24794.5
CLV05_MEUR,SCA,P7,AT,2000-10-01,24772.8
CLV05_MEUR,SCA,P7,AT,2000-07-01,23538
CLV05_MEUR,SCA,P7,AT,2000-04-01,22931.9
CLV05_MEUR,SCA,P7,AT,2000-01-01,22110.5
CLV05_MEUR,SCA,P7,AT,1999-10-01,21596
CLV05_MEUR,SCA,P7,AT,1999-07-01,21135.5
CLV05_MEUR,SCA,P7,AT,1999-04-01,20566.6
CLV05_MEUR,SCA,P7,AT,1999-01-01,20507.6
CLV05_MEUR,SCA,P7,AT,1998-10-01,20289.3
CLV05_MEUR,SCA,P7,AT,1998-07-01,20286.3
CLV05_MEUR,SCA,P7,AT,1998-04-01,20234.8
CLV05_MEUR,SCA,P7,AT,1998-01-01,20388.9
CLV05_MEUR,SCA,P7,AT,1997-10-01,19805.8
CLV05_MEUR,SCA,P7,AT,1997-07-01,19528.3
CLV05_MEUR,SCA,P7,AT,1997-04-01,18924.5
CLV05_MEUR,SCA,P7,AT,1997-01-01,18614.6
CLV05_MEUR,SCA,P7,AT,1996-10-01,17937.6
CLV05_MEUR,SCA,P7,AT,1996-07-01,17841.5
