"";"Geschäftsjahr";"2013";"2013";"2013";"2013";"2013";"2013";"2013";"2013";"2013";"2013";"2013";"2013";"2013";"2013";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2014";"2015";"2015";"2015";"2015";"2015";"2015";"2015";"2015";"2015";"2015";"2015";"2015";"2015";"2015";"2015";"2016";"2016";"2016";"2016";"2016";"2016";"2016";"2016";"2016";"2016";"2016";"2016";"2016";"2017";"2017";"2017";"2017";"2017";"2017";"2017";"2017";"2017";"2017";"2017";"2017";"2017";"2018";"2018";"2018";"2018";"2018";"2018";"2018";"2018";"2018";"2018";"2018";"2018";"2018";"2019";"2019";"2019";"2019";"2019";"2019";"2019";"2019";"2019";"2019";"2019";"2019";"2019";"2020";"2020";"2020";"2020";"2020";"2020";"2020";"2020";"2020";"2020";"2020";"2020";"2020";"2020";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2021";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2022";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2023";"2024";"2024";"2024";"2024";"2024";"2024";"Gesamtergebnis"
"";"Buchungsperiode";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"Ergebnis";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"Ergebnis";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"Ergebnis";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"Ergebnis";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"Ergebnis";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"Ergebnis";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"Ergebnis";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"Ergebnis";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"Ergebnis";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"Ergebnis";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"Ergebnis";"1";"2";"3";"4";"5";"Ergebnis";"Ergebnis"
"Detailbudget 2";"";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung";"Zahlung"
"JI/CDM";"43.01.01.00";"3.585.971,59 EUR";"5.738.826,23 EUR";"14.358.843,80 EUR";"4.614.309,31 EUR";"1.119.737,72 EUR";"1.675.599,03 EUR";"7.186.365,39 EUR";"11.400.367,50 EUR";"10.182.322,86 EUR";"12.015.521,80 EUR";"3.691.302,24 EUR";"3.421.841,13 EUR";"";"78.991.008,60 EUR";"1.671.274,41 EUR";"834.828,69 EUR";"-33.617,28 EUR";"298.971,95 EUR";"";"176.370,00 EUR";"";"";"175.000,00 EUR";"5.402,75 EUR";"1.631,13 EUR";"1.083.152,00 EUR";"4.213.013,65 EUR";"0,00 EUR";"-178.880,92 EUR";"150.000,00 EUR";"";"0,00 EUR";"150.000,00 EUR";"2.095,88 EUR";"";"150.000,00 EUR";"0,00 EUR";"857,00 EUR";"60.487,12 EUR";"";"";"334.559,08 EUR";"";"32.998,66 EUR";"-247.424,12 EUR";"";"0,00 EUR";"65.779,86 EUR";"";"";"4.364,28 EUR";"";"";"68.985,89 EUR";"-75.295,43 EUR";"0,00 EUR";"";"49.685,30 EUR";"0,00 EUR";"120,69 EUR";"";"";"";"";"";"";"0,00 EUR";"49.805,99 EUR";"";"";"";"200,00 EUR";"205,00 EUR";"";"";"";"";"";"";"";"405,00 EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"83.513.496,89 EUR"
"UFI";"43.01.02.00";"7.892.154,39 EUR";"9.560.049,18 EUR";"16.505.001,30 EUR";"10.612.879,05 EUR";"9.059.623,50 EUR";"21.393.245,19 EUR";"11.683.251,25 EUR";"13.482.381,78 EUR";"12.867.233,78 EUR";"15.868.886,09 EUR";"12.154.254,21 EUR";"13.489.938,85 EUR";"";"154.568.898,57 EUR";"16.048.331,23 EUR";"9.318.668,72 EUR";"17.540.952,40 EUR";"15.090.937,83 EUR";"15.600.224,65 EUR";"15.857.385,06 EUR";"13.232.778,38 EUR";"15.449.769,30 EUR";"15.787.419,10 EUR";"17.022.418,92 EUR";"17.418.739,66 EUR";"22.225.386,28 EUR";"190.593.011,53 EUR";"12.202.012,37 EUR";"8.529.847,13 EUR";"12.880.559,69 EUR";"11.224.276,97 EUR";"10.096.946,06 EUR";"12.917.800,26 EUR";"8.950.144,42 EUR";"16.627.846,79 EUR";"11.719.828,48 EUR";"12.411.646,83 EUR";"19.519.114,16 EUR";"23.179.537,23 EUR";"";"";"160.259.560,39 EUR";"14.483.686,28 EUR";"5.076.972,63 EUR";"11.868.190,07 EUR";"6.653.220,83 EUR";"12.596.219,82 EUR";"11.284.367,42 EUR";"8.982.609,59 EUR";"11.416.960,83 EUR";"11.016.008,03 EUR";"5.223.640,10 EUR";"13.328.518,23 EUR";"16.094.638,52 EUR";"128.025.032,35 EUR";"11.490.772,39 EUR";"5.459.783,84 EUR";"9.464.716,50 EUR";"10.893.251,36 EUR";"10.146.360,97 EUR";"14.589.275,45 EUR";"7.598.849,85 EUR";"8.455.972,42 EUR";"8.838.922,57 EUR";"6.843.136,38 EUR";"8.531.647,06 EUR";"9.496.467,50 EUR";"111.809.156,29 EUR";"7.403.145,15 EUR";"8.462.133,65 EUR";"6.975.427,41 EUR";"7.360.313,78 EUR";"7.621.684,51 EUR";"13.123.484,79 EUR";"5.216.795,06 EUR";"6.860.801,03 EUR";"8.253.888,85 EUR";"6.084.766,60 EUR";"8.829.657,56 EUR";"14.921.443,91 EUR";"101.113.542,30 EUR";"7.181.329,49 EUR";"5.326.663,36 EUR";"6.999.367,18 EUR";"4.299.029,67 EUR";"10.804.664,07 EUR";"10.202.966,63 EUR";"8.920.206,64 EUR";"6.969.430,15 EUR";"14.176.042,97 EUR";"8.757.408,96 EUR";"14.667.685,85 EUR";"14.258.355,36 EUR";"112.563.150,33 EUR";"11.325.415,74 EUR";"8.928.708,75 EUR";"17.755.717,54 EUR";"16.257.218,71 EUR";"14.535.668,52 EUR";"10.776.718,74 EUR";"8.430.542,64 EUR";"7.571.786,22 EUR";"12.361.677,43 EUR";"12.123.675,47 EUR";"16.113.728,17 EUR";"15.021.468,52 EUR";"";"151.202.326,45 EUR";"4.669.588,82 EUR";"12.342.598,58 EUR";"15.265.408,06 EUR";"9.553.345,86 EUR";"16.738.496,04 EUR";"18.471.362,45 EUR";"13.923.781,09 EUR";"15.313.786,79 EUR";"24.414.904,88 EUR";"21.840.654,65 EUR";"20.481.405,60 EUR";"26.372.350,82 EUR";"7,50 EUR";"";"199.387.691,14 EUR";"31.159.071,53 EUR";"23.796.757,69 EUR";"28.103.025,11 EUR";"20.483.479,97 EUR";"14.747.810,40 EUR";"15.679.379,51 EUR";"30.524.350,25 EUR";"26.022.687,19 EUR";"38.632.972,30 EUR";"42.537.708,71 EUR";"45.560.103,99 EUR";"107.649.957,61 EUR";"424.897.304,26 EUR";"8.923.096,12 EUR";"74.468.017,29 EUR";"52.144.866,02 EUR";"56.089.086,78 EUR";"48.829.384,29 EUR";"42.381.724,47 EUR";"55.535.114,81 EUR";"46.133.147,29 EUR";"56.358.503,20 EUR";"41.566.097,83 EUR";"34.240.018,24 EUR";"24.360.308,64 EUR";"541.029.364,98 EUR";"14.188.472,89 EUR";"206.063.399,26 EUR";"64.829.781,79 EUR";"67.352.598,88 EUR";"94.953.370,73 EUR";"447.387.623,55 EUR";"2.722.836.662,14 EUR"
"KLIEN";"43.01.03.00";"231.250,00 EUR";"18.622.836,02 EUR";"";"13.793.093,97 EUR";"";"0,00 EUR";"26.121.947,00 EUR";"";"";"25.612.084,00 EUR";"";"0,00 EUR";"";"84.381.210,99 EUR";"17.444.375,00 EUR";"";"";"278.125,00 EUR";"";"0,00 EUR";"18.016.250,00 EUR";"";"";"14.261.250,00 EUR";"";"0,00 EUR";"50.000.000,00 EUR";"266.250,00 EUR";"9.000.000,00 EUR";"";"11.883.750,00 EUR";"";"";"16.531.000,00 EUR";"";"";"11.486.000,00 EUR";"0,00 EUR";"0,00 EUR";"";"";"49.167.000,00 EUR";"8.275.000,00 EUR";"";"";"9.295.000,00 EUR";"";"";"10.797.000,00 EUR";"";"";"9.453.000,00 EUR";"0,00 EUR";"0,00 EUR";"37.820.000,00 EUR";"8.285.000,00 EUR";"";"";"9.315.000,00 EUR";"";"";"10.300.000,00 EUR";"";"0,00 EUR";"5.593.613,00 EUR";"4.226.387,00 EUR";"4.397.461,00 EUR";"42.117.461,00 EUR";"5.300.000,00 EUR";"100.000,00 EUR";"5.475.083,59 EUR";"5.520.000,00 EUR";"2.070.000,00 EUR";"3.550.000,00 EUR";"8.437.500,00 EUR";"";"";"6.947.416,41 EUR";"0,00 EUR";"2.398.712,00 EUR";"39.798.712,00 EUR";"8.912.500,00 EUR";"";"";"9.032.500,00 EUR";"";"";"9.222.500,00 EUR";"";"";"8.162.500,00 EUR";"0,00 EUR";"0,00 EUR";"35.330.000,00 EUR";"8.872.500,00 EUR";"";"0,00 EUR";"8.822.500,00 EUR";"";"";"9.122.500,00 EUR";"";"";"9.057.500,00 EUR";"";"0,00 EUR";"";"35.875.000,00 EUR";"11.700.000,00 EUR";"";"";"8.610.000,00 EUR";"5.000.000,00 EUR";"";"7.105.000,00 EUR";"6.500.000,00 EUR";"18.000.000,00 EUR";"11.405.000,00 EUR";"15.000.000,00 EUR";"7.000.000,00 EUR";"";"";"90.320.000,00 EUR";"14.405.000,00 EUR";"9.000.000,00 EUR";"11.000.000,00 EUR";"4.975.000,00 EUR";"7.500.000,00 EUR";"13.465.000,00 EUR";"13.000.000,00 EUR";"10.500.000,00 EUR";"14.000.000,00 EUR";"13.965.000,00 EUR";"8.500.000,00 EUR";"9.500.000,00 EUR";"129.810.000,00 EUR";"4.952.500,00 EUR";"12.000.000,00 EUR";"14.000.000,00 EUR";"11.507.500,00 EUR";"7.500.000,00 EUR";"6.500.000,00 EUR";"19.507.500,00 EUR";"21.000.000,00 EUR";"24.500.000,00 EUR";"29.507.500,00 EUR";"29.000.000,00 EUR";"10.640.000,00 EUR";"190.615.000,00 EUR";"44.743.750,00 EUR";"21.000.000,00 EUR";"18.000.000,00 EUR";"28.216.250,00 EUR";"10.000.000,00 EUR";"121.960.000,00 EUR";"907.194.383,99 EUR"
"Emissionshandel";"43.01.04.00";"";"";"";"-280.314,71 EUR";"";"";"";"";"";"";"";"";"";"-280.314,71 EUR";"193,60 EUR";"205,60 EUR";"";"927,46 EUR";"203,20 EUR";"";"972,52 EUR";"217,60 EUR";"200,80 EUR";"577,67 EUR";"";"420,80 EUR";"3.919,25 EUR";"589,76 EUR";"205,60 EUR";"214,40 EUR";"";"";"197,60 EUR";"192,80 EUR";"203,20 EUR";"216,80 EUR";"210,40 EUR";"207,20 EUR";"194,40 EUR";"";"";"2.432,16 EUR";"188,00 EUR";"188,80 EUR";"197,60 EUR";"";"191,20 EUR";"";"";"192,00 EUR";"";"";"190,40 EUR";"192,00 EUR";"1.340,00 EUR";"0,00 EUR";"188,80 EUR";"191,20 EUR";"208,80 EUR";"224,94 EUR";"192,80 EUR";"200,80 EUR";"191,20 EUR";"190,40 EUR";"191,20 EUR";"191,20 EUR";"192,00 EUR";"2.163,34 EUR";"186,40 EUR";"196,80 EUR";"195,20 EUR";"192,00 EUR";"194,40 EUR";"189,60 EUR";"192,80 EUR";"192,00 EUR";"191,20 EUR";"190,40 EUR";"192,00 EUR";"192,00 EUR";"2.304,80 EUR";"186,40 EUR";"190,40 EUR";"190,40 EUR";"192,00 EUR";"190,40 EUR";"191,20 EUR";"771,84 EUR";"193,60 EUR";"0,00 EUR";"863,22 EUR";"192,00 EUR";"196,80 EUR";"3.358,26 EUR";"712,50 EUR";"190,40 EUR";"191,20 EUR";"586,34 EUR";"193,60 EUR";"189,60 EUR";"554,40 EUR";"192,80 EUR";"190,40 EUR";"632,87 EUR";"191,20 EUR";"192,00 EUR";"";"4.017,31 EUR";"622,92 EUR";"180,80 EUR";"190,40 EUR";"643,78 EUR";"190,40 EUR";"188,80 EUR";"657,33 EUR";"192,00 EUR";"190,40 EUR";"646,55 EUR";"191,20 EUR";"192,00 EUR";"";"";"4.086,58 EUR";"679,04 EUR";"218,40 EUR";"238,40 EUR";"216,80 EUR";"216,00 EUR";"202,40 EUR";"215,20 EUR";"244,00 EUR";"216,80 EUR";"";"450,80 EUR";"593,60 EUR";"3.491,44 EUR";"655,20 EUR";"718,40 EUR";"647,20 EUR";"";"";"";"";"";"";"230,66 EUR";"178,26 EUR";"118,93 EUR";"2.548,65 EUR";"56,93 EUR";"58,27 EUR";"58,80 EUR";"58,80 EUR";"59,07 EUR";"291,87 EUR";"-250.361,05 EUR"
"Klima und Energie";"43.01.05.00";"3.850.277,48 EUR";"2.338.497,53 EUR";"3.926.879,44 EUR";"3.121.959,25 EUR";"3.358.283,85 EUR";"4.234.877,58 EUR";"4.655.568,85 EUR";"2.473.428,64 EUR";"4.092.567,00 EUR";"4.189.473,70 EUR";"7.096.340,02 EUR";"4.926.419,74 EUR";"0,82 EUR";"48.264.573,90 EUR";"4.432.824,23 EUR";"4.578.258,93 EUR";"4.777.468,72 EUR";"4.261.573,44 EUR";"4.584.972,85 EUR";"2.857.736,05 EUR";"5.081.394,14 EUR";"3.033.790,27 EUR";"2.565.900,00 EUR";"3.644.194,47 EUR";"9.865.221,40 EUR";"11.940.710,72 EUR";"61.624.045,22 EUR";"2.686.609,23 EUR";"2.294.864,46 EUR";"4.081.547,29 EUR";"3.853.764,98 EUR";"3.444.438,72 EUR";"5.579.251,29 EUR";"4.514.948,79 EUR";"2.709.110,79 EUR";"3.117.330,87 EUR";"2.931.556,32 EUR";"9.593.159,60 EUR";"9.545.488,33 EUR";"";"37,68 EUR";"54.352.108,35 EUR";"2.663.019,48 EUR";"2.276.109,43 EUR";"4.680.266,55 EUR";"7.805.778,16 EUR";"1.394.668,09 EUR";"5.802.665,50 EUR";"4.007.782,98 EUR";"8.816.519,91 EUR";"3.109.093,88 EUR";"4.935.811,92 EUR";"4.012.789,85 EUR";"11.183.679,65 EUR";"60.688.185,40 EUR";"2.500.331,26 EUR";"3.582.167,04 EUR";"8.228.674,11 EUR";"4.126.757,66 EUR";"4.508.285,74 EUR";"3.233.811,95 EUR";"5.319.472,40 EUR";"1.941.082,32 EUR";"2.975.550,24 EUR";"3.867.338,49 EUR";"3.614.400,71 EUR";"6.745.235,93 EUR";"50.643.107,85 EUR";"2.533.667,83 EUR";"2.116.787,46 EUR";"6.043.291,84 EUR";"3.531.349,86 EUR";"5.486.798,84 EUR";"4.520.174,96 EUR";"2.017.267,79 EUR";"3.334.958,05 EUR";"2.930.431,09 EUR";"3.170.710,01 EUR";"4.939.128,60 EUR";"9.415.928,50 EUR";"50.040.494,83 EUR";"2.490.474,30 EUR";"2.716.495,13 EUR";"4.517.132,58 EUR";"3.151.595,66 EUR";"3.098.235,28 EUR";"4.729.091,63 EUR";"3.534.691,58 EUR";"4.302.305,65 EUR";"3.213.593,48 EUR";"3.310.429,56 EUR";"4.584.984,17 EUR";"39.948.811,36 EUR";"79.597.840,38 EUR";"2.560.490,90 EUR";"1.784.152,24 EUR";"3.349.238,28 EUR";"4.544.056,10 EUR";"2.871.577,86 EUR";"3.784.378,93 EUR";"5.492.682,48 EUR";"3.337.606,51 EUR";"3.200.588,28 EUR";"3.273.935,26 EUR";"5.009.605,58 EUR";"34.564.599,42 EUR";"1,60 EUR";"73.772.913,44 EUR";"1.991.887,68 EUR";"2.592.480,16 EUR";"3.510.381,30 EUR";"4.102.528,61 EUR";"2.020.162,37 EUR";"2.835.421,34 EUR";"4.212.159,36 EUR";"5.033.150,16 EUR";"29.211.320,90 EUR";"4.589.731,62 EUR";"7.438.143,85 EUR";"9.084.906,06 EUR";"-4.000,00 EUR";"";"76.618.273,41 EUR";"1.045.871,31 EUR";"413.644,55 EUR";"2.399.708,51 EUR";"977.676,80 EUR";"1.320.213,36 EUR";"2.207.763,57 EUR";"1.541.318,98 EUR";"141.891.089,24 EUR";"3.181.817.211,54 EUR";"685.809.753,52 EUR";"16.340.123,44 EUR";"-21.327.242,68 EUR";"4.014.437.132,14 EUR";"6.888.584,36 EUR";"155.923.573,63 EUR";"4.459.917,59 EUR";"27.734.197,50 EUR";"8.339.902,91 EUR";"13.106.729,24 EUR";"4.800.893,73 EUR";"5.348.480,37 EUR";"1.364.334.673,67 EUR";"24.170.176,90 EUR";"6.831.000,44 EUR";"-1.604.918,21 EUR";"1.620.333.212,13 EUR";"17.411.432,61 EUR";"73.990.001,60 EUR";"518.531.883,59 EUR";"6.572.800,18 EUR";"22.877.504,67 EUR";"639.383.622,65 EUR";"6.829.755.509,70 EUR"
"Strahlenschutz";"43.01.06.00";"855.326,75 EUR";"2.202.142,94 EUR";"487.654,98 EUR";"238.603,54 EUR";"872.275,72 EUR";"419.586,53 EUR";"427.438,87 EUR";"1.109.069,25 EUR";"1.187.117,59 EUR";"671.929,20 EUR";"1.707.160,83 EUR";"5.724.005,28 EUR";"";"15.902.311,48 EUR";"1.049.423,65 EUR";"332.849,80 EUR";"988.121,43 EUR";"279.047,25 EUR";"764.177,44 EUR";"2.166.996,50 EUR";"386.246,12 EUR";"1.139.339,48 EUR";"1.695.424,69 EUR";"606.731,23 EUR";"433.055,96 EUR";"4.564.763,15 EUR";"14.406.176,70 EUR";"876.361,32 EUR";"211.260,47 EUR";"529.963,33 EUR";"88.729,63 EUR";"390.142,85 EUR";"1.234.015,45 EUR";"200.186,19 EUR";"1.419.815,31 EUR";"818.903,03 EUR";"804.536,84 EUR";"620.183,00 EUR";"4.112.112,52 EUR";"49,20 EUR";"";"11.306.259,14 EUR";"993.773,59 EUR";"777.594,00 EUR";"229.069,02 EUR";"145.150,12 EUR";"1.001.423,83 EUR";"298.834,48 EUR";"116.161,01 EUR";"2.271.359,96 EUR";"651.338,02 EUR";"989.351,24 EUR";"1.784.523,96 EUR";"6.249.973,68 EUR";"15.508.552,91 EUR";"1.002.644,77 EUR";"904.281,74 EUR";"304.298,07 EUR";"584.708,43 EUR";"827.134,15 EUR";"1.643.676,44 EUR";"469.646,92 EUR";"946.799,14 EUR";"657.079,51 EUR";"1.676.699,92 EUR";"687.596,09 EUR";"4.268.341,28 EUR";"13.972.906,46 EUR";"599.442,77 EUR";"1.393.356,02 EUR";"588.380,80 EUR";"288.537,19 EUR";"1.810.503,89 EUR";"1.867.468,93 EUR";"1.517.937,75 EUR";"1.144.328,88 EUR";"503.584,69 EUR";"2.503.250,52 EUR";"383.933,73 EUR";"3.619.846,91 EUR";"16.220.572,08 EUR";"171.593,67 EUR";"1.803.268,24 EUR";"224.553,92 EUR";"1.057.216,95 EUR";"874.129,93 EUR";"201.270,19 EUR";"806.513,14 EUR";"2.080.467,08 EUR";"787.985,38 EUR";"1.792.618,04 EUR";"1.099.447,83 EUR";"4.026.417,02 EUR";"14.925.481,39 EUR";"1.176.576,23 EUR";"586.668,44 EUR";"694.387,30 EUR";"1.532.077,82 EUR";"1.085.941,44 EUR";"526.486,45 EUR";"1.607.395,07 EUR";"741.929,60 EUR";"310.367,95 EUR";"2.583.333,38 EUR";"808.536,75 EUR";"2.930.243,95 EUR";"";"14.583.944,38 EUR";"1.144.910,42 EUR";"976.946,35 EUR";"585.052,94 EUR";"2.060.809,99 EUR";"816.362,43 EUR";"564.604,21 EUR";"2.292.382,16 EUR";"1.214.910,94 EUR";"492.840,21 EUR";"2.183.787,49 EUR";"931.345,65 EUR";"1.495.300,85 EUR";"";"";"14.759.253,64 EUR";"191.981,42 EUR";"88.650,06 EUR";"-261.467,28 EUR";"-19.164,20 EUR";"";"";"";"";"";"";"";"";"0,00 EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"131.585.458,18 EUR"
"Energiepolitik";"43.01.07.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"64.032,46 EUR";"62.586,69 EUR";"156.084,19 EUR";"18.841,71 EUR";"121.907,21 EUR";"317.896,82 EUR";"35.920,28 EUR";"157.215,00 EUR";"258.377,39 EUR";"213.984,08 EUR";"406.149,97 EUR";"417.689,41 EUR";"2.230.685,21 EUR";"80.696,55 EUR";"131.218,07 EUR";"707.918,98 EUR";"51.598,29 EUR";"238.472,61 EUR";"8.626,52 EUR";"110.806,86 EUR";"193.907,51 EUR";"22.511,28 EUR";"6.185,31 EUR";"215.666,34 EUR";"323.405,72 EUR";"2.091.014,04 EUR";"484.900,00 EUR";"231.299,85 EUR";"6.480,00 EUR";"4.875,00 EUR";"50.029,00 EUR";"103.979,40 EUR";"208.072,92 EUR";"123.533,82 EUR";"212.885,00 EUR";"62.637,08 EUR";"15.631,20 EUR";"315.033,03 EUR";"";"1.819.356,30 EUR";"732.736,26 EUR";"109.644,41 EUR";"409.202,14 EUR";"153.619,76 EUR";"491.799,44 EUR";"391.242,74 EUR";"231.028,86 EUR";"252.936,87 EUR";"97.627,81 EUR";"203.004,96 EUR";"155.357,12 EUR";"535.290,57 EUR";"";"";"3.763.490,94 EUR";"41.653,60 EUR";"255.176,28 EUR";"-282.470,24 EUR";"";"";"-14.359,64 EUR";"";"";"";"";"";"0,00 EUR";"0,00 EUR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9.904.546,49 EUR"
